Date,Contest number,Word,Number of  reported results,Number in hard mode,1 try,2 tries,3 tries,4 tries,5 tries,6 tries,7 or more tries (X),words_frequency,ASCII Sum,Has Duplicate Letters,letter_frequency_mul,letter_frequency_sum,Letter Frequency Sum
2022/12/31,560,manly,20380,1899,0,2,17,37,29,12,2,3.12E-06,545,FALSE,0.985352072,0.23321,0
2022/12/30,559,molar,21204,1973,0,4,21,38,26,9,1,3.08E-06,539,FALSE,1.134715059,0.28092,0
2022/12/29,558,havoc,20001,1919,0,2,16,38,30,12,2,2.42E-06,529,FALSE,1.030631855,0.25528,0
2022/12/28,557,impel,20160,1937,0,3,21,40,25,9,1,2.76E-07,535,FALSE,1.07166755,0.28028,0
2022/12/27,556,condo,20879,2012,0,2,17,35,29,14,3,1.96E-06,531,TRUE,1.160853332,0.28798,0
2022/12/26,555,judge,20011,2043,0,2,8,16,26,33,14,5.19E-05,527,FALSE,0.842548729,0.21881,0
2022/12/25,554,extra,15554,1562,1,5,20,35,28,10,1,3.94E-05,548,FALSE,1.244335131,0.36062,0
2022/12/24,553,poise,20281,1911,2,11,34,32,15,6,1,1.10E-06,544,FALSE,1.288133516,0.35431,0
2022/12/23,552,aorta,21937,2112,0,7,26,35,20,10,3,2.84E-06,535,TRUE,1.427733995,0.38884,0
2022/12/22,551,excel,20490,2034,0,1,13,34,34,15,2,6.29E-06,529,TRUE,1.100635669,0.32361,0
2022/12/21,550,lunar,22180,2036,0,5,32,40,17,4,0,3.32E-06,546,FALSE,1.130257955,0.27686,0
2022/12/20,549,third,24137,2261,1,10,47,32,9,2,0,0.000155412,539,FALSE,1.264444498,0.32356,0
2022/12/19,548,slate,26010,2422,6,14,33,27,13,5,1,3.56E-06,537,FALSE,1.425586309,0.40277,0
2022/12/18,547,taper,22166,2108,0,8,28,30,20,11,3,1.40E-06,540,FALSE,1.340139797,0.37841,0
2022/12/17,546,chord,22336,2088,0,7,39,38,13,3,0,3.78E-06,528,FALSE,1.10711503,0.26623,0
2022/12/16,545,probe,22853,2160,0,6,24,32,24,11,3,8.53E-06,536,FALSE,1.102138318,0.29617,0
2022/12/15,544,rival,22176,2127,0,7,27,35,22,8,1,9.91E-06,542,FALSE,1.057936976,0.26123,0
2022/12/14,543,usual,20824,2048,0,3,20,39,27,10,1,4.76E-05,554,TRUE,1.019416876,0.24035,0
2022/12/13,542,spoke,24101,2224,0,6,31,38,19,5,0,7.67E-05,546,FALSE,1.074566171,0.29237,0
2022/12/12,541,apply,22873,2150,0,5,28,38,22,7,1,5.70E-05,550,TRUE,0.813247044,0.18024,0
2022/12/11,540,naive,21947,2075,1,7,24,32,24,11,1,3.75E-06,489,FALSE,1.268793508,0.28596,0
2022/12/10,539,knock,21157,2041,0,3,18,43,27,8,1,1.49E-05,534,TRUE,0.79502556,0.18582,0
2022/12/9,538,braid,23640,2165,0,10,36,35,14,3,0,2.08E-06,514,FALSE,1.090346688,0.26865,0
2022/12/8,537,infer,21199,1863,0,3,19,33,26,14,3,4.19E-06,532,FALSE,1.273811594,0.34632,0
2022/12/7,536,joust,24899,2388,0,6,29,34,21,8,2,2.18E-07,565,FALSE,1.003363865,0.25801,0
2022/12/6,535,amber,23509,2261,0,6,22,33,24,12,3,8.01E-06,519,FALSE,1.136364811,0.30754,0
2022/12/5,534,woken,23153,2200,0,2,10,25,36,23,4,2.74E-06,548,FALSE,1.102768521,0.3009,0
2022/12/4,533,adore,25577,2398,2,17,32,29,15,5,1,2.05E-06,523,FALSE,1.390648192,0.38616,0
2022/12/3,532,torso,23873,2260,0,4,35,36,17,6,1,4.16E-06,567,TRUE,1.369810356,0.36384,0
2022/12/2,531,chafe,24646,2343,0,6,30,33,19,9,2,3.59E-07,503,FALSE,1.185305452,0.31973,0
2022/12/1,530,eject,22628,2200,0,2,11,35,36,14,2,5.02E-07,523,TRUE,1.22810876,0.37395,0
2022/11/30,529,study,2569,2405,0,6,30,33,19,10,2,0.000258949,569,FALSE,1.014144433,0.24368,0
2022/11/29,528,undue,23739,2316,0,3,19,35,29,13,2,3.02E-06,545,TRUE,1.120085063,0.2922,0
2022/11/28,527,tepid,26051,2484,0,10,38,35,13,3,0,6.92E-07,534,FALSE,1.263267139,0.34906,0
2022/11/27,526,happy,25206,2356,0,6,28,39,19,6,1,9.55E-05,546,TRUE,0.872675911,0.20093,0
2022/11/25,524,itchy,24197,2329,0,8,28,40,18,5,1,8.96E-07,545,FALSE,1.083059799,0.26872,0
2022/11/24,523,feast,27705,2725,5,13,25,27,19,10,2,1.11E-05,531,FALSE,1.361307919,0.3848,0
2022/11/23,522,drive,26663,2451,1,12,32,30,18,6,1,6.78E-05,538,FALSE,1.148086551,0.30886,0
2022/11/22,521,prime,27437,2534,1,10,26,32,21,9,1,3.11E-05,541,FALSE,1.128307449,0.2999,0
2022/11/21,520,axiom,24288,2382,0,5,19,33,27,13,3,2.00E-06,542,FALSE,0.986779568,0.25196,0
2022/11/20,519,brave,24991,2396,1,6,17,27,27,18,5,1.56E-05,528,FALSE,1.072279698,0.29326,0
2022/11/19,518,avert,24749,2400,0,7,26,35,22,9,1,1.70E-06,546,FALSE,1.295554687,0.3689,0
2022/11/18,517,glyph,29208,2899,0,2,23,49,20,5,1,3.12E-07,548,FALSE,0.767700454,0.16037,0
2022/11/17,516,there,27465,2530,0,14,35,33,14,4,0,0.001763988,536,TRUE,1.559209053,0.46541,0
2022/11/16,515,baker,25576,2541,0,5,16,23,24,22,10,1.38E-05,517,FALSE,1.061161565,0.2912,0
2022/11/15,514,snarl,27475,2650,0,5,21,31,24,15,4,1.49E-06,544,FALSE,1.239349418,0.31255,0
2022/11/14,513,maple,26536,2467,1,6,26,36,21,8,1,4.43E-06,527,FALSE,1.099087009,0.29229,0
2022/11/13,512,inane,25085,2515,0,8,25,30,21,13,3,4.63E-07,523,TRUE,1.465983642,0.41333,0
2022/11/12,511,valet,24660,2356,0,4,22,38,25,9,1,2.01E-06,540,FALSE,1.238914788,0.34928,0
2022/11/11,510,medal,25993,2438,0,5,25,38,23,8,1,4.48E-06,515,FALSE,1.182951224,0.31553,0
2022/11/10,509,unite,27467,2575,1,11,31,33,18,5,1,4.54E-06,549,FALSE,1.365002896,0.38231,0
2022/11/9,508,rainy,28984,2678,1,16,38,31,11,3,1,3.36E-06,547,FALSE,1.18035607,0.29843,0
2022/11/8,507,spell,27213,2531,0,4,24,37,24,9,1,1.43E-05,544,TRUE,1.11306737,0.29008,0
2022/11/7,506,begin,26096,2439,0,6,26,36,23,7,1,7.21E-05,517,FALSE,1.112363548,0.29924,0
2022/11/6,505,stale,31068,3013,2,19,30,27,15,6,2,2.71E-06,537,FALSE,1.425586309,0.40277,0
2022/11/5,504,dream,29743,2751,5,14,31,29,15,4,1,5.38E-05,521,FALSE,1.239591123,0.33515,0
2022/11/4,503,photo,27330,2565,0,5,34,43,15,3,0,2.85E-05,554,TRUE,1.230512913,0.32093,0
2022/11/3,502,aloud,29554,2819,1,18,31,30,15,4,1,1.15E-05,533,FALSE,1.098756804,0.2671,0
2022/11/2,501,inept,27670,2640,0,6,30,39,20,6,1,8.40E-07,544,FALSE,1.332007948,0.37402,0
2022/11/1,500,piney,27502,3667,0,1,14,37,33,14,2,2.06E-07,549,FALSE,1.130001531,0.3032,0
2022/10/31,499,aptly,26498,2572,0,3,26,41,23,7,1,2.06E-06,554,FALSE,1.017159936,0.25151,0
2022/10/30,498,waltz,24672,2496,0,2,11,29,35,19,3,2.00E-06,562,FALSE,0.930757439,0.23682,0
2022/10/29,497,libel,25156,2536,0,3,15,32,32,16,2,1.57E-06,520,TRUE,1.109482964,0.2921,0
2022/10/28,496,sneak,27905,2636,0,7,28,36,21,7,1,4.48E-06,530,FALSE,1.241897684,0.34717,0
2022/10/27,495,carry,27609,2615,0,4,22,35,24,12,3,5.76E-05,545,TRUE,1.037094811,0.24897,0
2022/10/26,494,flout,30063,2904,0,6,28,37,21,7,1,2.24E-07,554,FALSE,1.045921045,0.25574,0
2022/10/25,493,foggy,28953,2817,0,2,13,35,32,15,3,1.39E-06,540,TRUE,0.741503344,0.15739,0
2022/10/24,492,fault,28947,2768,0,7,27,35,22,8,1,3.07E-05,540,FALSE,1.060647534,0.26234,0
2022/10/23,491,mummy,29279,3021,0,1,4,14,27,37,18,3.69E-06,565,TRUE,0.642780926,0.1195,0
2022/10/22,490,spiel,29084,2810,0,7,32,36,19,6,1,3.86E-07,541,FALSE,1.194253958,0.31949,0
2022/10/21,489,grove,28637,2794,0,4,18,30,28,17,3,7.55E-06,547,FALSE,1.080545896,0.29189,0
2022/10/20,488,denim,28741,2769,0,5,29,40,20,5,0,1.59E-06,525,FALSE,1.231459274,0.33076,0
2022/10/19,487,quirk,28322,2794,0,3,23,39,24,9,2,9.26E-07,556,FALSE,0.717514612,0.16578,0
2022/10/18,486,exist,28612,2805,0,5,24,38,23,8,1,5.28E-05,557,FALSE,1.22568467,0.35201,0
2022/10/17,485,stein,31269,2965,1,12,34,32,16,5,1,5.13E-06,547,FALSE,1.474094359,0.418,0
2022/10/16,484,spade,30459,2854,1,8,29,36,19,6,1,1.86E-06,525,FALSE,1.228860117,0.33378,0
2022/10/15,483,catch,30403,3123,0,7,18,20,15,16,23,4.15E-05,515,TRUE,1.142463238,0.28881,0
2022/10/14,482,floor,28906,2752,0,3,23,44,24,6,0,0.000105595,546,TRUE,1.112887691,0.27254,0
